,PSNR Processed,SSIM Processed
0,29.21442857,0.755803303
1,28.92850481,0.582378421
2,29.15811888,0.781702472
3,29.30899698,0.840278988
4,28.91035942,0.673557819
5,28.74594172,0.634856894
6,28.62956614,0.566580047
7,29.48155263,0.843702992
8,30.13463436,0.854152566
9,28.9641346,0.751312619
10,29.0758646,0.61117409
11,28.50008428,0.681130386
12,28.93313473,0.651096743
13,28.97158392,0.807065862
14,29.08846009,0.582110232
15,28.75274727,0.471318043
16,29.45619627,0.676205041
17,28.62423702,0.742199349
18,29.44749377,0.704125026
19,28.70852941,0.733020072
20,29.23289817,0.8017404
21,28.57726799,0.597089738
22,28.91137293,0.604401289
23,29.27058086,0.796855436
24,28.38991924,0.724945063
25,29.4584094,0.841587507
26,29.80167901,0.888883606
27,29.11692272,0.606716119
28,29.33178049,0.760675671
29,29.07877594,0.565995015
30,28.74649353,0.70912733
31,29.94932124,0.777064761
32,28.72453865,0.505931988
33,28.90643906,0.784517835
34,29.00022448,0.58981845
35,28.41377857,0.736759618
36,28.94525211,0.79948543
37,28.62579219,0.835650819
38,28.28432842,0.824406089
39,28.63266445,0.651522795
40,29.2011927,0.718911996
41,29.01760098,0.635121067
42,29.00326153,0.778784135
43,28.54371601,0.627176236
44,28.52916975,0.647295776
45,28.81185215,0.79936607
46,28.60580137,0.546508138
47,28.68457671,0.590573578
48,28.46144844,0.698950009
49,28.48209511,0.604002659
50,29.06831283,0.720967871
51,29.01618956,0.870574399
52,29.13696736,0.817239843
53,28.83022658,0.818592099
54,28.58477436,0.606556386
55,28.67861097,0.838725116
56,28.54395849,0.676580804
57,28.58525064,0.611991372
58,29.11882924,0.621864305
59,28.30299518,0.539964013
60,28.93527545,0.767331244
61,28.71145054,0.822603631
62,28.66161011,0.601107021
63,29.09254246,0.654800944
64,28.33618017,0.772576399
65,28.9397162,0.797260982
66,28.61009126,0.614902723
67,28.94817087,0.816705885
68,28.67659928,0.588317426
69,28.82230613,0.547296454
70,28.62812997,0.647616832
71,29.08694638,0.774976134
72,28.98055855,0.810964929
73,29.11645547,0.822463396
74,29.25506315,0.798769845
75,29.32480777,0.795887267
76,28.79516171,0.633978832
77,28.96047482,0.710329868
78,29.27758462,0.833427101
79,28.93275174,0.626483071
80,28.60970338,0.824338162
81,28.63409773,0.543626588
82,29.03070233,0.719731095
83,28.6420968,0.792250603
84,28.86574275,0.563322668
85,28.73929709,0.695622271
86,29.11498863,0.646628239
87,29.32707934,0.846522701
88,30.36441149,0.891805961
89,28.82618241,0.771236434
90,28.23070098,0.774899923
91,28.94371027,0.743052808
92,28.64574687,0.486958151
93,29.21148131,0.835270563
94,28.7520448,0.553050651
95,28.96625498,0.700694483
96,28.94214293,0.581386872
97,28.51475301,0.612620267
98,28.30012214,0.769709534
99,28.65472042,0.787004204
100,28.77847359,0.839817237
101,28.76465345,0.614274764
102,28.89345702,0.758480513
103,28.64536747,0.587274043
104,28.45628859,0.661108115
105,28.67564512,0.824269208
106,29.23129026,0.778353581
107,28.98296632,0.818641446
108,28.7969724,0.796026762
109,29.0593327,0.788904652
110,28.8669504,0.552631773
111,29.92779437,0.83991361
112,29.11635284,0.820047212
113,28.56505398,0.813592204
114,28.2861544,0.777809596
115,28.15883291,0.772728225
116,28.75659619,0.644579997
